prompt,completion
Microsoft,"We have enjoyed getting to know you and appreciate your interest in a career at Microsoft. Unfortunately, we will not be moving forward with your candidacy for the position of UX Research: Intern Opportunities for University Graduates M5, 1415228 at this time. However, we’d like to encourage you to continue to explore other career opportunities on Microsoft Careers as we continually update openings on a daily basis. We look forward to considering you for other positions at Microsoft!

Thank you,
Microsoft Recruiting"
CLEAR,"Thank you again for your interest in the role at CLEAR.

Unfortunately, at this time, we have decided not to move forward with your application. It was a tough decision and we appreciate your interest in CLEAR. We will absolutely keep your information top of mind for future positions that fit your skill set and interests. 
We hope you will continue to stay connected with us on LinkedIn and keep an eye on our career page for future opportunities.
We wish you the best of luck in your job search!

Best,
The CLEAR Talent Acquisition Team"
ServiceNow,"Thank you for your interest in the Product Design Internships (Product Design, Design Technology, UI/Visual, Design Operations) position at ServiceNow. Unfortunately, while your skills and background are impressive, we have recently filled the role for which you applied.  
We appreciate your time and effort throughout the application process. We encourage you to check back on our Career Site and apply for other positions at ServiceNow in the future.   
Again, thank you for your interest in a position with ServiceNow, we wish you success in your job search and future career.   

Sincerely,
ServiceNow Talent Acquisition Team"
Jack Morton,"Thank you for taking the time to consider Jack Morton. Unfortunately, our position has been filled and we cannot further consider your application. We encourage you to stay close to our career page and apply for future opportunities should you find an open role at our company that suits you. 
http://www.jackmorton.com/culture-careers/ 
Thank you again for your interest in Jack Morton; we wish you all the best in your job search. 

The Jack Recruiting Team "
The New York Times,"We received an overwhelming response to the Summer 2023 Product Design Intern position, which made for an extremely competitive selection process. Unfortunately, we have decided to pursue other candidates at this time.
We are grateful for your interest in The New York Times, as it shows that you care about original journalism that supports an informed and engaged public. We are always hiring, and we encourage you to visit our career site for other opportunities. Please apply if you see another position that sparks your interest.

Thank you again.
The New York Times Human Resources Team"
Discovery,"From our intern team to you, we want to sincerely thank you for your interest in Warner Bros. Discovery Photo & Design Brand Creative, Magnolia Network Internship: Waco, LA, or NYC - Summer 2023 role. This year, we received an unprecedented number of applications, and we were blown away by the skills, experience, and enthusiasm of every applicant. Unfortunately, this role is no longer being filled for our Summer 2023 Internship program. That said, you may still be considered for similar internships based on the roles you've applied to and your skills. Please keep an eye on your inbox and Workday status for updates on other applications you may have submitted.
If you are interested and would like to receive updates via text message, please use this link to join our talent community. Please make sure to select “Internships/Trainee”, when indicating your interests.
If you will be graduating, we post new entry-level jobs on our careers site and would love to see your application.
Stay in touch with us on LinkedIn for company updates and exciting employee news. Thank you again for your interest in an internship with Warner Bros. Discovery- we wish you all the best and hope to stay top of mind for future opportunities!

Be well,

Team Intern"
Gensler,"Thank you for your interest in Gensler's Summer Internship Student Internship – Brand Design – Summer 2023 in Wash DC. Unfortunately, we are unable to offer you an internship at this time.

We sincerely appreciate the time and effort you have committed to preparing your application and portfolio. We enjoyed reviewing these materials, and encourage you to continue growing in your design studies. 
Whether as a future intern, graduate, professional designer, consultant or client, we hope this is just the beginning of your relationship with Gensler. In this spirit, we wish you the very best for your career, and we welcome you to keep your applicant profile up to date in our system so that we may consider you in the future. We'd like to invite you to stay connected with Gensler by joining our design discussions on social media and reading our research and publications on Gensler.com.

Sincerely,
Gensler
Gensler Talent Acquisition"
Headspace Health,"Thank you very much for your interest in a career with Headspace Health! We appreciate it and have reviewed your background and qualifications for the Brand Design Intern role. 
Unfortunately, after careful consideration, we have decided not to move forward with your candidacy at this time, given that our current candidate pool aligns more closely with our needs for this role. With that said, you have a strong background and we will certainly keep you in mind for future opportunities that may be a better fit!
Wishing you lots of luck in your job search!
 
All the best,
The Headspace Health Team"
MCD Partners,"Thank you for your interest in the Visual Design Intern position at MCD Partners in New York, New York, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in MCD Partners.
Regards,
MCD Partners"
Raisin,"Thank you for your application and your interest in the company!

Unfortunately, we have to inform you that we cannot consider you for the position to be filled. After careful consideration, we feel that other applicants are better suited for the position, given our needs and their background and experience.  
We have also thoroughly examined your application to see if there are other positions to which you might be better suited. However, we could not find anything that we can offer you at this time.
Nevertheless, we do appreciate you contacting us and wish you all the best and good luck with your next steps.
To stay up to date on what is happening at Raisin, feel free to follow us on LinkedIn, Twitter (Raisin or @WeltSparen), and Facebook (@Raisin or @WeltSparen).

Best,
Favour Bamidele
Junior Talent Acquisition Manager"
Magnolia,"Thank you for applying to the Photo & Design Brand Creative, Magnolia Network Internship: Waco, LA, or NYC - Summer 2023 — R000065798 opportunity at Warner Bros. Discovery. While we appreciate your interest in joining the company, we regret to inform you that this position will no longer be filled.

Please don’t be discouraged! If you’ve applied for multiple positions, you may still be under consideration for those roles. In the meantime, here are some tips to stay on our radar:

• Keep trying. We’re always looking for great employees to join our fearless team, so your passion and persistence can pay off. Continue to monitor wbd.com/careers for the latest openings.
• Join our talent community - it’s one of the first places our recruiters look for candidates when jobs open.
• Follow us on social. Check out @wbd on Instagram and Twitter and @WarnerBrosDiscovery on LinkedIn .

Best of luck on your job search!"
Crohn's & Colitis Foundation,"Thank you for applying for the Summer Intern, User Experience Designer (UX) role at the Crohn's & Colitis Foundation.   We are writing to let you know that we have had an exceptionally competitive pool of applicants and, unfortunately, we will not be moving forward with your candidacy at this time.  
Thank you for your interest in helping move our mission forward.  
We wish you the best of luck in your internship search.

Best, 
Crohn's & Colitis Foundation"
The New York Times,"We received an overwhelming response to the Summer 2023 Interactive News Intern position, which made for an extremely competitive selection process. Unfortunately, we have decided to pursue other candidates at this time.
We are grateful for your interest in The New York Times, as it shows that you care about original journalism that supports an informed and engaged public. We are always hiring, and we encourage you to visit our career site for other opportunities. Please apply if you see another position that sparks your interest.

Thank you again.
The New York Times Human Resources Team"
Inmar,"Thank you for your interest in the Intern, Visual Design opportunity and in employment with Inmar. After careful consideration, we have decided to move forward with another group of candidates for this particular role. If you have applied for other positions, please note that this message is only in reference to the position; [not available] 
We are continuously growing and we encourage you to visit our website (https://www.inmar.com/about/careers) for more information and apply directly for any future opportunities that arise.

We appreciate your interest in our company and wish you luck in all your future endeavors!

Regards, 
Inmar Recruiting Team "
Yahoo,"Thank you for your interest in the Product Design Intern role at Yahoo.
At this time, the hiring team has decided to move forward with other candidates who are more closely aligned with the requirements of the role.
However, we will be in touch should your qualifications be a good fit for other opportunities.
In the meantime, please continue to explore other roles at Yahoo.

Yahoo Recruiting Team"
Apixio,"We appreciate your interest in Apixio and the time you’ve invested in applying for a position with us.
As you can imagine, we received many qualified applicants and at this time we've decided not to move forward with your candidacy.
Please do keep following Apixio via LinkedIn and our Career's page.  As we grow and have new needs, we will post them. 
We wish you good luck with your job search and future endeavors. 

Regards,
Apixio
"
Salesforce,"Thank you for your interest in Salesforce! We have reviewed your qualifications for the Summer 2023 Intern - Jr. Designer position. At this time, we have decided to move forward with other candidates.

Although this role wasn't the right fit, we now have your information in the cloud and a recruiter will reach out if we find a better match. In the meantime, as you gain new experiences or skills please stay in touch and apply again. Speaking of which, have you explored Trailhead (https://trailhead.salesforce.com/)? Our guided learning paths will help you learn more about Salesforce and develop new skills.
If you applied for multiple positions, your other applications may still be in consideration. Check your application status at any time by logging into our Careers Site (https://salesforce.wd1.myworkdayjobs.com/en-US/External_Career_Site/userHome). Click the button in the right corner, then select “view profile” to see the status.

Thank you again for considering Salesforce. We wish you the best of luck in your job search.
The Salesforce Recruiting Team

P.S. This is an auto-generated message. Please do not reply to this email."
Salesforce,"Thank you for your interest in Salesforce! We have reviewed your qualifications for the 2023 Summer Intern Product Design [Slack] position. At this time, we have decided to move forward with other candidates.

Although this role wasn't the right fit, we now have your information in the cloud and a recruiter will reach out if we find a better match. In the meantime, as you gain new experiences or skills please stay in touch and apply again. Speaking of which, have you explored Trailhead (https://trailhead.salesforce.com/)? Our guided learning paths will help you learn more about Salesforce and develop new skills.
If you applied for multiple positions, your other applications may still be in consideration. Check your application status at any time by logging into our Careers Site (https://salesforce.wd1.myworkdayjobs.com/en-US/External_Career_Site/userHome). Click the button in the right corner, then select “view profile” to see the status.

Thank you again for considering Salesforce. We wish you the best of luck in your job search.
The Salesforce Recruiting Team

P.S. This is an auto-generated message. Please do not reply to this email."
Ark Biotech,"Thank you for taking the time to chat. After consideration, we've made the decision to not move forward at this time. That being said, we’d like to keep your resume on file as our team continues to grow. We really appreciate you taking the time to get to know our team.
 
Thanks again,
Yossi"
Nintendo,"Thank you for your interest in the position of Intern - UX Researcher (NTD) (22000000ER). After careful consideration, we regret to inform you that you have not been selected for this position.
We will retain your candidate file in our database and may inform you of job openings that match your profile if you selected this option. We also invite you to visit the Career Section on our Web site regularly.
Thank you for your interest in NINTENDO TECHNOLOGY DEVELOPMENT INC. and wish you all the best in your career.
 
Best regards,
Human Resources Department
NINTENDO TECHNOLOGY DEVELOPMENT INC."
Logitech,"Thank you for your interest in Logitech!

We received an overwhelming response to the CMF Intern position, which makes us feel both humble and proud that so many talented individuals (like you!) want to join our team. The volume of response makes for an extremely competitive selection process. Although your background is impressive, we regret to inform you that we have decided to pursue other candidates for the positions at this time.
Just as we at Logitech value our customers, we value our job candidates and invite you to review future job openings. We hope you see another position that sparks your interest!

Best wishes,
Logitech Talent Acquisition"
Autodesk,"Thank you for considering Autodesk and applying for 23WD66855 Intern, Generative Design Research (Open).
We regret to inform you that we will not be moving forward with your application at this time. However, we encourage you to continue to keep an eye on our careers site and apply for other positions for Interns & New Grads for which you qualify.

Best wishes for a successful job search.
Autodesk University Recruiting"
HP,"Thank you for your interest in the HP Inc position of User Experience Research Intern for Personal Systems Product Design Team. 

We regret to inform that we will not be progressing with your candidacy for this particular requisition.
This notification is only applicable to this specific requisition. If you have applied, are currently interviewing, or have received or accepted an offer for any other position with HP, this notification has no impact on that process. 
We hope you will continue to review job openings at HP Careers and apply for the positions you believe are a good match for your skills and expertise. At HP, we’re always looking for talented people who want to make a difference, aren’t satisfied with “good enough,” and are excited about imagining the future and making it happen. 
We wish you success in your job search and sincerely appreciate your interest in HP!

Regards,
Global Talent Acquisition
HP
"
Logitech,"Thank you for your interest in Logitech!

We received an overwhelming response to the Art Direction Intern position, which makes us feel both humble and proud that so many talented individuals (like you!) want to join our team. The volume of response makes for an extremely competitive selection process. Although your background is impressive, we regret to inform you that we have decided to pursue other candidates for the positions at this time.
Just as we at Logitech value our customers, we value our job candidates and invite you to review future job openings. We hope you see another position that sparks your interest!

Best wishes,
Logitech Talent Acquisition"
Kyndryl,"Thank you for your interest. We regret to inform you that at this time, your application will not be further considered for this role.

We encourage you to visit our Kyndryl Careers Website to apply for other positions which may be a match with your skills, experience and education.
Again, thank you for your application.

Sincerely,
Shahrzad Shirdareh"
Tandem NYC,"Thank you for applying for an internship at Tandem, we appreciate your interest in joining our team. 

We carefully reviewed a large number of applications which made the selection process difficult. Though your application was impressive, we have decided to move forward with a candidate whose interest, experience, and portfolio are better aligned with our studio at this time. 
However, we hope you’ll apply again in the future if you see a job opening with our team; whether it be another internship or full-time position as our studio grows. 
Again, thank you for your interest and for taking the time to apply for this internship. 

Best,
Shelby Rashap"
Cash App,"Thank you for taking the time to consider a career with Cash App. Our team has reviewed your application for the Brand Design Intern, Illustration role and we have decided to move forward with other applicants at this time. 
We appreciate the time you took to apply and hope that you will consider a career with our team in the future. Please continue to check out our careers page for available positions. 

Wishing you all the best.
Cash App Talent Team "
Tesla,"Thank you for your interest in the UI/UX Application Design Engineering Internship (Summer 2023) position at Tesla. We were fortunate to have received a high volume of applications, resulting in an extremely competitive candidate pool.
We encourage you to keep an eye on our careers site and apply for other opportunities that interest you and align with your experience and skill set. Thank you again, and we wish you all the best in your job search.

Sincerely,
Tesla Recruiting"
